TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
18517,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',655 Powell St,Sidewalk: Curb side : Cutout,12,4X4,37.79092922,-122.4090253
18827,Olea europaea :: Olive Tree,1911 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79093486,-122.4248829
7357,Pyrus calleryana :: Ornamental Pear,2306 Fillmore St,Sidewalk: Curb side : Cutout,18,4X4,37.79094843,-122.4341768
2876,Platanus x hispanica :: Sycamore: London Plane,1454 California St,Sidewalk: Curb side : Cutout,16,3x3,37.79096721,-122.4183629
2864,Platanus x hispanica :: Sycamore: London Plane,1365 California St,Sidewalk: Curb side : Cutout,65,3X3,37.79097742,-122.4168267
2875,Platanus x hispanica :: Sycamore: London Plane,1436 California St,Sidewalk: Curb side : Cutout,16,3X3,37.79098902,-122.418185
9913,Olea europaea :: Olive Tree,1901X Sacramento St,Sidewalk: Curb side : Cutout,12,6x6,37.79098933,-122.4245607
2863,Platanus x hispanica :: Sycamore: London Plane,1355 California St,Sidewalk: Curb side : Cutout,45,3X3,37.79100003,-122.4166767
103847,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1529 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.79101487,-122.4209138
23401,Platanus x hispanica :: Sycamore: London Plane,1699 Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.79102065,-122.4226973
103848,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1524 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.7910225,-122.4204789
2873,Platanus x hispanica :: Sycamore: London Plane,1422 California St,Sidewalk: Curb side : Cutout,3,3X3,37.79103265,-122.4178421
13571,Platanus x hispanica :: Sycamore: London Plane,510X Market St,Sidewalk: Curb side : Cutout,30,4x4,37.79103686,-122.3993276
18825,Olea europaea :: Olive Tree,1875 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79106279,-122.4238811
7358,Pyrus calleryana :: Ornamental Pear,2318 Fillmore St,Sidewalk: Curb side : Cutout,6,3X3,37.79107858,-122.4341981
18828,Olea europaea :: Olive Tree,1930 Sacramento St,Sidewalk: Curb side : Cutout,14,4X4,37.79107926,-122.4247274
2851,Platanus x hispanica :: Sycamore: London Plane,1301 California St,Sidewalk: Curb side : Cutout,45,3X3,37.79108277,-122.4160258
13561,Platanus x hispanica :: Sycamore: London Plane,455 Market St,Sidewalk: Curb side : Cutout,45,4X4,37.79108769,-122.3989093
18824,Olea europaea :: Olive Tree,1871 Sacramento St,Sidewalk: Curb side : Cutout,14,3X3,37.7910894,-122.4237336
18830,Olea europaea :: Olive Tree,1958 Sacramento St,Sidewalk: Curb side : Cutout,15,6x7.5,37.79109721,-122.4251463
2872,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1408 California St,Sidewalk: Curb side : Cutout,3,3X3,37.7911008,-122.4176901
103843,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1541 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.79110138,-122.4209313
15121,Ceratonia siliqua :: Carob,300 Mission St,Sidewalk: Curb side : Cutout,18,2X2,37.7911022,-122.3960414
18822,Olea europaea :: Olive Tree,1865 Sacramento St,Sidewalk: Curb side : Cutout,18,3X3,37.79110713,-122.4235845
132028,Olea europaea :: Olive Tree,33x Battery St,Median : Yard,27,,37.7911327,-122.3994473
7962,Olea europaea :: Olive Tree,1920X Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79113795,-122.4245806
2850,Platanus x hispanica :: Sycamore: London Plane,1299 California St,Sidewalk: Curb side : Cutout,11,3X3,37.79114669,-122.4155311
9914,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1900 Gough St,Sidewalk: Curb side : Cutout,126,3X3,37.79116413,-122.4257789
2848,Platanus x hispanica :: Sycamore: London Plane,1275 California St,Sidewalk: Curb side : Cutout,12,3X3,37.7911704,-122.415354
2847,Platanus x hispanica :: Sycamore: London Plane,1271 California St,Sidewalk: Curb side : Cutout,45,3X3,37.79119242,-122.4151721
18816,Olea europaea :: Olive Tree,1805X Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.7911941,-122.422834
103845,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1540 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.79119497,-122.4205484
15111,Liriodendron tulipifera :: Tulip Tree,201 Mission St,Sidewalk: Curb side : Cutout,18,4X4,37.79119641,-122.3955714
7362,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2329 Fillmore St,Sidewalk: Curb side : Cutout,21,3x3,37.7912049,-122.4343899
13567,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,484X Market St,Sidewalk: Curb side : Cutout,6,4x4,37.79120629,-122.3991122
2856,Platanus x hispanica :: Sycamore: London Plane,1332 California St,Sidewalk: Curb side : Cutout,65,3X3,37.79121029,-122.4164209
7957,Lophostemon confertus :: Brisbane Box,1800 Franklin St,Sidewalk: Curb side : Cutout,3,3X3,37.79121227,-122.4241023
18823,Ligustrum lucidum :: Glossy Privet,1870 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79122113,-122.4236134
2855,Platanus x hispanica :: Sycamore: London Plane,1324 California St,Sidewalk: Curb side : Cutout,65,3X3,37.79123247,-122.4162606
18819,Olea europaea :: Olive Tree,1850 Sacramento St,Sidewalk: Curb side : Cutout,12,3X3,37.79123633,-122.4235044
103841,Syagrus romanzoffianum :: Queen Palm,1545 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.79123655,-122.4209974
13534,Platanus x hispanica :: Sycamore: London Plane,425 Market St,Sidewalk: Curb side : Cutout,45,4X4,37.79124437,-122.3987159
12940,Platanus x hispanica :: Sycamore: London Plane,1308 California St,Sidewalk: Curb side : Cutout,35,3X3,37.79126752,-122.4159203
23405,Eucalyptus macarthuri :: Camden Wollybutt,1700X Van Ness Ave,Median : Cutout,30,9,37.79127685,-122.4224224
23403,Platanus x hispanica :: Sycamore: London Plane,1700 Van Ness Ave,Sidewalk: Curb side : Cutout,8,3X3,37.79129142,-122.4224517
2849,Platanus x hispanica :: Sycamore: London Plane,1278 California St,Sidewalk: Curb side : Cutout,30,3x3,37.79133724,-122.4154256
103839,Maytenus boaria :: Mayten,1552 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.79137826,-122.4207669
7364,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2360 Fillmore St,Sidewalk: Curb side : Cutout,18,3X3,37.79140089,-122.4342882
2838,Platanus x hispanica :: Sycamore: London Plane,1244 California St,Sidewalk: Curb side : Cutout,65,3X3,37.79140661,-122.4148824
7363,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2343 Fillmore St,Sidewalk: Curb side : Cutout,18,3X3,37.79140778,-122.4344277
2829,Myoporum laetum :: Myoporum,1200 California St,Sidewalk: Curb side : Cutout,80,3X3,37.79146825,-122.4143246
9920,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1950 Gough St,Sidewalk: Curb side : Cutout,12,3X3,37.79147574,-122.4258366
13546,Platanus x hispanica :: Sycamore: London Plane,444 Market St,Sidewalk: Curb side : Cutout,20,4x4,37.79148064,-122.3987639
136074,Pyrus calleryana :: Ornamental Pear,2401 Fillmore St,Sidewalk: Curb side : Cutout,26,Width 4ft,37.7917372,-122.4344836
7368,Pyrus kawakamii :: Evergreen Pear,2401 Fillmore St,Sidewalk: Curb side : Cutout,7,3X3,37.79177503,-122.434482
13507,Platanus x hispanica :: Sycamore: London Plane,333 Market St,Sidewalk: Curb side : Cutout,20,4X4,37.79179087,-122.3980158
27264,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1735 Van Ness Ave,Sidewalk: Curb side : Cutout,8,2X2,37.79179115,-122.4227895
